GFFermiconstant,LamIn,LamSIN,LamhS,MS,Mh,O_chnl:~Ss ~Ss -> Wp Wm,O_chnl:~Ss ~Ss -> Z Z,O_chnl:~Ss ~Ss -> d3 D3,O_chnl:~Ss ~Ss -> e3 E3,O_chnl:~Ss ~Ss -> g g,O_chnl:~Ss ~Ss -> u2 U2,Omega_h2,Zbosonpolemass,alphasMZSMMSbar,h0 ->  BBAR B,h0 ->  CBAR C,h0 ->  DBAR D,h0 ->  E+ E-,h0 ->  GLUE GLUE,h0 ->  MU+ MU-,h0 ->  PHOT PHOT,h0 ->  SBAR S,h0 ->  TAU+ TAU-,h0 ->  UBAR U,h0 ->  W- W+,h0 ->  Z0 Z0,h0 ->  ss ss,mbmbSMMSbar,mtaupole,mtoppole,muS2,neutron_SD,neutron_SI,proton_SD,proton_SI,O_chnl:~Ss ~Ss -> h h
1.16637e-05,0.26,0.0,0.0001,40.0,125.548349,0.186759,0.022538,0.638511,0.063454,0.053987,0.032319,10700.0,91.1887,0.1187,0.565790065,0.0266884936,5.87256363e-07,5.09468871e-09,0.087241167,0.000227590059,0.00268252271,0.000211230902,0.0656947917,1.12356391e-07,0.226586471,0.0248394312,3.75322365e-05,4.18,1.77669,173.5,1593.93754,0.0,1.491e-13,0.0,1.454e-13,0.0
1.16637e-05,0.26,0.0,0.000116895182,40.0,125.548349,0.160677,0.019587,0.662545,0.065849,0.0553,0.03354,9200.0,91.1887,0.1187,0.565782283,0.0266881265,5.87248286e-07,5.09461864e-09,0.0872399671,0.000227586929,0.00268248582,0.000211227997,0.0656938882,1.12354846e-07,0.226583354,0.0248390896,5.12851575e-05,4.18,1.77669,173.5,1592.91328,0.0,2.037e-13,0.0,1.986e-13,0.0
1.16637e-05,0.26,0.0,0.000136644835,40.0000001,125.548349,0.137994,0.016862,0.684265,0.068022,0.055669,0.034647,7850.0,91.1887,0.1187,0.565771651,0.0266876249,5.8723725e-07,5.09452289e-09,0.0872383276,0.000227582652,0.0026824354,0.000211224028,0.0656926536,1.12352735e-07,0.226579096,0.0248386228,7.00772014e-05,4.18,1.77669,173.5,1591.71597,0.0,2.783e-13,0.0,2.714e-13,0.0
1.16637e-05,0.26,0.0,0.000159731228,40.0,125.548349,0.101634,0.011947,0.724649,0.072121,0.050479,0.036739,6710.0,91.1887,0.1187,0.565757122,0.0266869396,5.8722217e-07,5.09439207e-09,0.0872360874,0.000227576808,0.00268236652,0.000211218604,0.0656909667,1.1234985e-07,0.226573278,0.024837985,9.57544173e-05,4.18,1.77669,173.5,1590.31636,0.0,3.803e-13,0.0,3.709e-13,0.0
1.16637e-05,0.26,0.0,0.000186718109,40.0000001,125.548349,0.085933,0.010234,0.738886,0.073538,0.051471,0.037461,5650.0,91.1887,0.1187,0.565737271,0.0266860032,5.87201566e-07,5.09421332e-09,0.0872330265,0.000227568823,0.0026822724,0.000211211192,0.0656886617,1.12345907e-07,0.226565328,0.0248371135,0.000130838874,4.18,1.77669,173.5,1588.6803,0.0,5.197e-13,0.0,5.068e-13,0.0
1.16637e-05,0.26,0.0,0.000218264473,40.0,125.548349,0.070685,0.0,0.753626,0.075015,0.05145,0.038214,4750.0,91.1887,0.1187,0.565710148,0.0266847238,5.87173413e-07,5.09396909e-09,0.0872288443,0.000227557913,0.00268214381,0.000211201066,0.0656855124,1.12340521e-07,0.226554466,0.0248359227,0.000178775993,4.18,1.77669,173.5,1586.76781,0.0,7.101e-13,0.0,6.925e-13,0.0
1.16637e-05,0.26,0.0,0.000255140652,40.0,125.548349,0.061492,0.0,0.761951,0.075844,0.052017,0.038637,3960.0,91.1887,0.1187,0.565673089,0.0266829758,5.87134949e-07,5.09363539e-09,0.0872231301,0.000227543006,0.0026819681,0.000211187231,0.0656812095,1.12333162e-07,0.226539625,0.0248342958,0.000244272157,4.18,1.77669,173.5,1584.53221,0.0,9.703e-13,0.0,9.462e-13,0.0
1.16637e-05,0.26,0.0,0.000298247129,40.0,125.548349,0.051228,0.0,0.772149,0.076869,0.051739,0.039159,3290.0,91.1887,0.1187,0.565622459,0.0266805875,5.87082397e-07,5.09317948e-09,0.0872153232,0.000227522639,0.00268172806,0.000211168328,0.0656753307,1.12323108e-07,0.226519348,0.024832073,0.000333755411,4.18,1.77669,173.5,1581.9189,0.0,1.326e-12,0.0,1.293e-12,0.0
1.16637e-05,0.26,0.0,0.000348636523,40.0,125.548349,0.04601,0.0,0.776879,0.077339,0.052055,0.039399,2710.0,91.1887,0.1187,0.565553289,0.0266773248,5.87010604e-07,5.09255664e-09,0.0872046577,0.000227494816,0.00268140011,0.000211142505,0.0656672993,1.12309372e-07,0.226491647,0.0248290363,0.000456003759,4.18,1.77669,173.5,1578.86406,0.0,1.812e-12,0.0,1.767e-12,0.0
1.16637e-05,0.26,0.0,0.000407539297,40.0000001,125.548349,0.03888,0.0,0.784191,0.078076,0.05165,0.039775,2210.0,91.1887,0.1187,0.5654588,0.0266728677,5.86912529e-07,5.09170581e-09,0.0871900881,0.000227456807,0.00268095212,0.000211107228,0.065656328,1.12290608e-07,0.226453806,0.024824888,0.000623001478,4.18,1.77669,173.5,1575.29311,0.0,2.476e-12,0.0,2.414e-12,0.0
1.16637e-05,0.26,0.0,0.000476393801,40.0,125.548349,0.034375,0.0,0.78864,0.078524,0.051527,0.040003,1800.0,91.1887,0.1187,0.565329736,0.0266667797,5.86778569e-07,5.09054365e-09,0.0871701873,0.000227404891,0.0026803402,0.000211059044,0.0656413422,1.12264978e-07,0.226402119,0.0248192218,0.000851105035,4.18,1.77669,173.5,1571.11883,0.0,3.383e-12,0.0,3.299e-12,0.0
1.16637e-05,0.26,0.0,0.000556881399,40.0000001,125.548349,0.030733,0.0,0.792332,0.078895,0.051372,0.040193,1450.0,91.1887,0.1187,0.565153473,0.0266584653,5.86595618e-07,5.08895648e-09,0.0871430086,0.000227333989,0.0026795045,0.000210993238,0.065620876,1.12229975e-07,0.22633153,0.0248114834,0.00116262846,4.18,1.77669,173.5,1566.23931,0.0,4.623e-12,0.0,4.508e-12,0.0
1.16637e-05,0.26,0.0,0.000650967523,39.9999999,125.548349,0.0,0.0,0.822505,0.081963,0.047075,0.041759,1160.0,91.1887,0.1187,0.564912796,0.0266471125,5.86345809e-07,5.08678928e-09,0.0871058977,0.000227237176,0.0026783634,0.000210903384,0.0655929305,1.1218218e-07,0.226235144,0.0248009172,0.00158799519,4.18,1.77669,173.5,1560.53537,0.0,6.317e-12,0.0,6.16e-12,0.0
1.16637e-05,0.26,0.0,0.000760949669,39.9999999,125.548349,0.0,0.0,0.82345,0.082057,0.047111,0.041807,925.0,91.1887,0.1187,0.564584254,0.0266316151,5.86004803e-07,5.08383091e-09,0.0870552387,0.00022710502,0.00267680572,0.000210780727,0.065554783,1.12116938e-07,0.22610357,0.0247864935,0.00216865143,4.18,1.77669,173.5,1553.86775,0.0,8.631e-12,0.0,8.417e-12,0.0
1.16637e-05,0.26,0.0,0.000889513497,40.0,125.548349,0.0,0.0,0.824167,0.082129,0.047116,0.041844,732.0,91.1887,0.1187,0.564135936,0.0266104678,5.85539475e-07,5.079794e-09,0.0869861109,0.000226924683,0.00267468016,0.000210613353,0.0655027281,1.12027909e-07,0.225924028,0.0247668113,0.00296099706,4.18,1.77669,173.5,1546.07363,0.0,1.179e-11,0.0,1.15e-11,0.0
